"Comment","Designator","Footprint","LCSC Part #"
"0.1uF","C2,C1,C9,C17,C3,C4,C5,C7,C6,C8","C_0805_2012Metric","C49678"
"V1 LED","D1","LED_0603_1608Metric","C72043"
"V2 LED","D2","LED_0603_1608Metric","C72043"
"V3 LED","D3","LED_0603_1608Metric","C72043"
"5V LED","D4","LED_0603_1608Metric","C72043"
"0603","D16,D15,D14,D13,D12,D11,D10,D9,D24,D23,D22,D21,D20,D19,D18,D17,D32,D31,D30,D29,D28,D27,D26,D25","LED_0603_1608Metric","C72043"
"33","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24","R_0805_2012Metric","C17634"
"4.7k","R25,R26,R28,R27,R88,R29,R59,R58,R57,R56,R55,R54,R53,R52,R67,R66,R65,R64,R63,R62,R61,R60,R75,R74,R73,R72,R71,R70,R69,R68","R_0805_2012Metric","C17673"
"120","R30,R36,R37,R31,R32,R38,R39,R33,R34,R40,R41,R35,R42,R46,R47,R43,R44,R48,R49,R45,R50,R51","R_0805_2012Metric","C17437"
"74HC245D","U1,U9,U17","SOIC-20W_7.5x12.8mm_P1.27mm","C5625"
"AT24C256C","U2","SOIC-8_3.9x4.9mm_P1.27mm","C6482"
"AM26LS31CDR","U3,U4,U5,U6,U7","SOIC-16_3.9x9.9mm_P1.27mm","C6179"
"UA9638CD","U8","SOIC-8_3.9x4.9mm_P1.27mm","C435812"
